filename,timestamp,class_name,box_x0,bbox_y0,bbox_x1,bbox_y1,temp_mean_c,temp_max_c
IR_63142.jpg,2025/5/1 15:19,Machine,461,298,483,318,21.88679,25.424925
IR_63142.jpg,2025/5/1 15:19,Machine,467,256,491,280,22.069757,25.502478
IR_63142.jpg,2025/5/1 15:19,Machine,404,248,438,271,21.645502,23.766699
IR_63142.jpg,2025/5/1 15:19,Machine,416,212,435,230,22.321835,25.575266
IR_63142.jpg,2025/5/1 15:19,Machine,452,207,507,248,23.885866,25.676907
IR_63142.jpg,2025/5/1 15:19,Machine,417,176,452,205,23.240955,23.860565
IR_63142.jpg,2025/5/1 15:19,Machine,48,174,70,235,21.1746,21.477049
IR_63142.jpg,2025/5/1 15:19,Machine,151,153,183,186,23.219894,24.533895
IR_63142.jpg,2025/5/1 15:19,Machine,340,152,355,168,22.103895,22.617487
IR_63142.jpg,2025/5/1 15:19,Machine,184,107,209,146,22.853575,24.108608
IR_63142.jpg,2025/5/1 15:19,Light,358,40,556,65,22.802639,25.647408
IR_63142.jpg,2025/5/1 15:19,Light,254,23,302,48,23.461512,25.581104
IR_63142.jpg,2025/5/1 15:19,Light,166,14,214,38,22.547607,24.748295
IR_63142.jpg,2025/5/1 15:19,Light,169,0,224,12,23.778002,25.593197
IR_63142.jpg,2025/5/1 15:19,Screen,271,275,404,365,22.641588,24.230547
IR_63142.jpg,2025/5/1 15:19,Window,67,58,112,142,23.991745,25.276863
IR_65533.jpg,2025/5/7 08:41,Person,307,129,356,237,24.043175,26.2
IR_65533.jpg,2025/5/7 08:41,Machine,490,294,511,314,21.0441,23.33519
IR_65533.jpg,2025/5/7 08:41,Machine,557,290,570,318,22.851751,24.288439
IR_65533.jpg,2025/5/7 08:41,Machine,461,253,496,319,21.013826,25.637505
IR_65533.jpg,2025/5/7 08:41,Machine,399,242,446,272,20.959993,22.579075
IR_65533.jpg,2025/5/7 08:41,Machine,446,237,460,253,21.05923,21.206614
IR_65533.jpg,2025/5/7 08:41,Machine,558,217,570,233,20.328106,20.643442
IR_65533.jpg,2025/5/7 08:41,Machine,417,207,444,229,21.79744,26.166433
IR_65533.jpg,2025/5/7 08:41,Machine,504,203,532,226,22.113018,26.161608
IR_65533.jpg,2025/5/7 08:41,Machine,553,178,570,203,23.08206,26.026289
IR_65533.jpg,2025/5/7 08:41,Machine,45,178,71,262,20.980824,21.39555
IR_65533.jpg,2025/5/7 08:41,Machine,187,175,201,190,22.052336,22.311638
IR_65533.jpg,2025/5/7 08:41,Machine,253,116,273,136,22.252707,23.696976
IR_65533.jpg,2025/5/7 08:41,Light,443,40,556,64,21.870008,24.727402
IR_65533.jpg,2025/5/7 08:41,Light,351,40,438,64,20.795752,26.04709
IR_65533.jpg,2025/5/7 08:41,Light,255,21,292,42,22.45371,24.9533
IR_65533.jpg,2025/5/7 08:41,Light,162,13,208,36,21.530972,22.757065
IR_65533.jpg,2025/5/7 08:41,Light,170,0,230,13,22.723577,25.377508
IR_65533.jpg,2025/5/7 08:41,Screen,269,272,404,370,24.634827,26.02309
IR_65533.jpg,2025/5/7 08:41,Window,68,57,109,136,22.600363,23.95309
IR_61755.jpg,2025/4/30 10:31,Person,0,129,123,458,26.501144,30.560078
IR_61755.jpg,2025/4/30 10:31,Person,128,83,184,213,26.091557,30.508587
IR_61755.jpg,2025/4/30 10:31,Machine,463,300,483,317,22.881037,26.6027
IR_61755.jpg,2025/4/30 10:31,Machine,492,295,510,314,23.103891,25.906908
IR_61755.jpg,2025/4/30 10:31,Machine,465,256,491,281,23.510145,27.222301
IR_61755.jpg,2025/4/30 10:31,Machine,493,221,524,270,23.751236,24.785454
IR_61755.jpg,2025/4/30 10:31,Machine,421,185,450,205,24.497568,25.638485
IR_61755.jpg,2025/4/30 10:31,Machine,336,149,356,166,23.26398,26.27947
IR_61755.jpg,2025/4/30 10:31,Machine,187,108,209,138,24.681202,26.049734
IR_61755.jpg,2025/4/30 10:31,Light,358,39,556,65,23.961388,29.843872
IR_61755.jpg,2025/4/30 10:31,Light,254,20,293,43,24.800638,27.121735
IR_61755.jpg,2025/4/30 10:31,Light,165,13,211,37,23.936926,25.500528
IR_61755.jpg,2025/4/30 10:31,Light,169,0,231,12,24.756916,27.734554
IR_61755.jpg,2025/4/30 10:31,Screen,268,274,402,376,26.168304,28.276363
IR_61755.jpg,2025/4/30 10:31,Window,67,57,109,128,28.355772,29.840351
IR_61033.jpg,2025/4/29 14:12,Person,268,130,360,281,26.662271,30.527603
IR_61033.jpg,2025/4/29 14:12,Person,131,87,212,300,25.890604,30.506607
IR_61033.jpg,2025/4/29 14:12,Person,4,84,75,306,25.681437,30.54694
IR_61033.jpg,2025/4/29 14:12,Machine,462,299,485,318,23.30859,29.544334
IR_61033.jpg,2025/4/29 14:12,Machine,490,295,511,315,22.662083,25.512722
IR_61033.jpg,2025/4/29 14:12,Machine,532,287,570,318,25.422567,30.588726
IR_61033.jpg,2025/4/29 14:12,Machine,424,263,465,289,22.63904,25.83978
IR_61033.jpg,2025/4/29 14:12,Machine,466,257,489,281,24.20247,29.650318
IR_61033.jpg,2025/4/29 14:12,Machine,451,219,470,238,23.128494,25.048708
IR_61033.jpg,2025/4/29 14:12,Machine,417,211,436,232,23.388512,30.249184
IR_61033.jpg,2025/4/29 14:12,Machine,413,177,459,208,24.147629,25.167025
